Year,Age,Team,League,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1930,18,MRS,NNL,1,4,4,0,2,0,0,0,0,0,,0,,0.5,0.5,0.5,1,171,2,,0,0,,,/2,
1933,21,PC,NN2,68,262,238,61,94,15,7,18,74,4,,20,,0.395,0.442,0.744,1.186,217,177,,0,4,,,*2/7395,AS
1934,22,PC,NN2,65,272,240,56,76,19,4,15,59,4,,30,,0.317,0.395,0.617,1.012,181,148,,1,1,,,*2/3578,AS
1935,23,PC,NN2,44,194,168,48,62,11,4,10,57,10,,24,,0.369,0.448,0.661,1.109,177,111,,0,2,,,*2/3951,AS
1936,24,PC,NN2,50,208,175,51,68,7,4,18,66,6,,30,,0.389,0.478,0.783,1.261,217,137,,0,3,,,*2/39587,AS
1937,25,HG,NN2,39,183,156,60,65,13,7,20,73,2,,25,,0.417,0.5,0.974,1.474,273,152,,1,1,,2,*2/357,
1938,26,HG,NN2,46,199,165,53,61,11,4,13,54,2,,29,,0.37,0.467,0.721,1.188,209,119,,1,4,,,*2/537,
1939,27,HG,NN2,27,123,102,34,41,4,3,11,46,4,,18,,0.402,0.492,0.824,1.315,251,84,,,3,,,*2/3,"AS,AS"
1940,28,HG,NN2,1,4,2,1,0,0,0,0,0,0,,2,,0,0.5,0,0.5,42,0,,,0,,,/3,
1942,30,HG,NN2,48,198,162,44,53,7,2,10,52,1,,35,,0.327,0.447,0.58,1.027,200,94,,,1,,,*2/937,"AS,AS"
1943,31,HG,NN2,69,302,249,93,116,22,9,20,109,4,,52,,0.466,0.56,0.867,1.427,281,216,,1,0,0,,*29/7,AS
1944,32,HG,NN2,49,199,176,39,59,8,6,9,49,3,,23,,0.335,0.412,0.602,1.014,169,106,1,0,0,,3,*2/93,AS
1945,33,HG,NN2,43,177,148,36,55,6,5,8,39,0,,28,,0.372,0.472,0.642,1.113,210,95,,0,1,,3,*2/39,
1946,34,HG,NN2,48,186,170,34,54,12,3,13,52,0,,15,,0.318,0.373,0.653,1.026,183,111,,0,1,,3,*2/35,"AS,AS"
